label|id|ticker|date|title|body|proba_logit|proba_forest
0|3|ADVANC|6152018|BRIEF-Thai Telco Advanced Info Service Says Will Not Participate In 1800 Mhz Spectrum Auctions|15-Jun-2018 12:44:35 - THAI MOBILE OPERATOR ADVANCED INFO SERVICE PCL ADVANC.BK SAYS WILL NOT PARTICIPATE IN 1800 MHZ SPECTRUM AUCTIONS|0.4408653259756349|0.26666666666666666
0|4|ADVANC|6152018|BRIEF-Advanced Info Service To Not Participate In 1800Mhz Spectrum Auction|ADVANCED INFO SERVICE -NOT PARTICIPATING IN UPCOMING 1800MHZ SPECTRUM AUCTION ANNOUNCED BY NATIONAL BROADCASTING AND TELECOMMUNICATIONS COMMISSION|0.4407943331177981|0.22333333333333333
2|7|ADVANC|5102018|BRIEF-Advanced Info Service Posts Q1 Profit Attributable 8.04 BLN baht|ADVANCED INFO SERVICE PCL - Q1 PROFIT ATTRIBUTABLE 8.04 BLN BAHT VS 7.69 BLN BAHT; Q1 TOTAL REVENUE 40.93 BLN BAHT VS 38.86 BLN BAHT A YEAR AGO|0.5802056041518938|0.4166666666666667
2|15|ADVANC|3052018|BRIEF-Advanced Info Service Says Unit Enters Joint Venture Deal With Rabbit-Line Pay|UNIT ENTERS JOINT VENTURE DEAL WITH RABBIT-LINE PAY, THROUGH SUBSCRIPTION OF 33.33% AT 393.75 BAHT PER SHARE‍​|0.7450557513226512|0.94
0|16|ADVANC|2052018|Thai telco Advanced Info Service announces 2 pct drop in annual profit|BANGKOK, Feb 5 (Reuters) - Thailand's largest mobile operator, Advanced Info Service Pcl (AIS) ADVANC.BK, reported a near 2 percent drop in annual net profit on Monday due to falling voice revenues.|0.3158405210578238|0.13
0|17|ADVANC|2052018|BRIEF-Advanced Info Service Posts FY Net Profit Of 30.08 Bln Baht|ADVANCED INFO SERVICE PCL - FY TOTAL REV 157.72‍​ BLN BAHT VS 152.15 BLN BAHT; FY NET PROFIT 30.08 BLN BAHT VS 30.67 BLN BAHT|0.4705742435846427|0.21333333333333335
2|18|ADVANC|2052018|BRIEF-Advanced Info Service Says In 2018, Service Revenue (Excluding IC) Is Expected To Grow In A Range Of 7-8 Pct‍​|ADVANCED INFO SERVICE PCL - IN 2018, SERVICE REVENUE (EXCLUDING IC), IS EXPECTED TO GROW IN A RANGE OF 7-8%‍; EXPECT EBITDA MARGIN TO EXPAND INTO A RANGE OF 45 PCT - 47 PCT FOR 2018‍​; IN 2018, CASH CAPEX IS EXPECTED TO SLOW DOWN YOY TO A RANGE OF 35-38 BLN‍ BAHT​; MAINTAIN DIVIDEND POLICY TO PAY MINIMUM OF 70% OF NET PROFIT ‍​|0.6509637208220033|0.69
2|20|ADVANC|1052018|Thailand's AIS signs roaming deal with state-run TOT|BANGKOK, Jan 5 (Reuters) - Advanced Info Service Pcl (AIS) , Thailand’s largest mobile operator, has signed a roaming agreement with state-run TOT Pcl until 2025 to broaden its coverage, TOT President Monchai Noosong said on Friday.|0.7311873067187687|0.7266666666666667
2|21|ADVANC|1052018|BRIEF-Advanced Info Service confirms will participate in 900,1800 MHz spectrum auctions|THAI ADVANCED INFO SERVICE ADVANC.BK CONFIRMS WILL PARTICIPATE IN 900,1800 MHZ SPECTRUM AUCTIONS|0.4316852954372879|0.42333333333333334
2|22|ADVANC|11072017|BRIEF-Thai Advanced Info yet to decide on spectrum auction participation|THAI ADVANCED INFO SERVICE ADVANC.BK SAYS INVESTMENT BUDGET NEXT YEAR LOWER THAN THIS YEAR'S 40 BLN-45 BLN BAHT; THAI ADVANCED INFO SERVICE SAYS HAS NOT YET DECIDED TO PARTICIPATE IN SPECTRUM AUCTION UNTIL AFTER PUBLIC HEARING|0.45492209508184245|0.43666666666666665
1|23|ADVANC|11022017|Thai telecoms firm AIS's profits up on more subscribers, lower costs|BANGKOK, Nov 2 (Reuters) - Advance Info Service Pcl (AIS) ADVANC.BK reported a 14 percent increase in third-quarter profits to 7.47 billion baht ($226 million) on Thursday, in line with expectations.|0.6724806851425659|0.8866666666666667
2|24|ADVANC|11022017|BRIEF-Advanced Info Service posts qtrly net profit of 7.47 bln baht|ADVANCED INFO SERVICE PCL - QTRLY NET PROFIT 7.47 BLN BAHT VS 6.53 BLN BAHT‍​; QTRLY REVENUE 38.58 BLN BAHT VS 37.10 BLN BAHT‍​‍​; EXPECTS FY17 CONSOLIDATED EBITDA MARGIN TO IMPROVE AND STAY IN THE RANGE OF 42 PCT-44 PCT ‍​|0.45561345363134537|0.6
2|25|ADVANC|10242017|BRIEF-Advanced Info Service says unit to buy all shares in CSL held by Singtel|ADVANCED INFO SERVICE PCL - UNIT ENTERS SHARE TENDER AGREEMENT WITH SINGTEL TO BUY ALL SHARES IN CS LOXINFO PUBLIC CO HELD BY SINGTEL|0.6488285626561439|0.72
2|26|ADVANC|9132017|BRIEF-Advanced Info Service announces interest in buying shares of CS Loxinfo Public Co|ADVANCED INFO SERVICE - HAD ISSUED LOI TO THAICOM PUBLIC CO & SINGAPORE TELECOMMUNICATION STATING INTEREST IN ACQUIRING SHARES OF CS LOXINFO PUBLIC CO;STATED INTEREST IN ACQUIRING SHARES OF CS LOXINFO PUBLIC CO FOR A PRELIMINARY INDICATIVE PRICE OF 7.8 BAHT PER SHARE; ENTRY INTO DEAL BY THCOM, COMPANY AND/OR SINGTEL SHALL BE SUBJECT TO CONSIDERATION AND APPROVAL OF THEIR BOARD|0.6409010442686265|0.71
2|27|ADVANC|7272017|BRIEF-Advanced Info Service says qtrly net profit 7.22 billion baht|ADVANCED INFO SERVICE PCL ADVANC.BK - QTRLY NET PROFIT 7.22 BLN BAHT VS 9.60 BLN BAHT; QTRLY TOTAL REVENUE 39.08 BLN BAHT VS 36.48 BLN BAHT; EXPECTS FY CONSOLIDATED SERVICE REVENUE (INCLUDING IC) TO IMPROVE 4-5% YOY|0.4472611917888476|0.47
2|28|ADVANC|4272017|BRIEF-Advanced Info Service reports qtrly profit for the period 7.69 bln baht|ADVANCED INFO SERVICE PCL ADVANC.BK - QTRLY PROFIT FOR THE PERIOD 7.69 BLN BAHT VS 8.07 BLN BAHT; QTRLY TOTAL REVENUE 38.86 BLN BAHT VS 37.25 BLN BAHT|0.44129554253063275|0.43666666666666665
2|29|ADVANC|2202017|BRIEF-Thailand's Advanced Info targets 600,000 internet customers this year|(Reuters) - Thailand's Advanced Info Service Pcl. Targets 600,000 internet customers this year versus 300,000 last year|0.6744109931454885|0.8466666666666667
2|30|ADVANC|2062017|BRIEF-Thailand's Advanced Info Service aims revenue market share at 50 pct this year|Advanced Info Pcl;Targets revenue market share at 50 percent this year, says CEO Somchai Lertsuthiwong Further company coverage:|0.6514185232334971|0.7666666666666667
1|31|ADVANC|2062017|BRIEF-Thai Advanced Info Pcl says believes internet usage will jump as much as 300 pct in 2017|Feb 6 (Reuters) - Thai Advanced Info Pcl CEO Somchai Lertsuthiwong believes internet usage will jump as much as 300 percent in 2017|0.788589560361917|0.97
2|32|ADVANC|2032017|BRIEF-Advanced Info Service posts FY net profit 30.67 billion baht|Feb 3 (Reuters) - Advanced Info Service Pcl FY net profit 30.67 billion baht versus 39.15 billion baht|0.4811543925342284|0.46
2|33|ADVANC|11082016|BRIEF-Advanced Info Service Qtrly net profit 6.53 billion baht|Nov 8 (Reuters) - Advanced Info Service Pcl : Qtrly net profit 6.53 billion baht versus 8.62 billion baht. As of 3q16, AIS had total subscriber of 39.9 million, a net addition of 518,000 subscribers|0.5227702951625957|0.5633333333333334
2|34|ADVANC|8042016|BRIEF-Advanced Info Service says quarterly net profit 9.60 bln baht|Aug 4 (Reuters) - Advanced Info Service PCL : * Qtrly net profit 9.60 billion baht versus 9.85 billion baht last year * Qtrly total revenues 36.48 billion baht versus 38.13 billion baht last year |0.4002798009911435|0.29333333333333333
1|35|ADVANC|7042016|BRIEF-Advanced Info Service says AWN officially granted 900Mhz license|On 27 may 2016, Advanced Wireless Network Co., Ltd. was auction winner for 900Mhz license at the bid price of 75.65 billion baht * On 30 June 2016 AWN was officially granted license to operate 900Mhz from National Broadcasting And Telecommunications Commission * License will be effective from 1 July 2016 onward * Preliminary budget to roll out 900mhz network is approximately 9 billion baht|0.6812370412578914|0.8366666666666667
2|36|ADVANC|5312016|BRIEF-Advanced Info service appoints Sunitaya Shinawatra as chief Finance officer|May 31 (Reuters) - Advanced Info Service PCL : * Appoints sunitaya shinawatra, senior vice president-Finance, as chief Finance officer, effective from 1 June 2016 onwards|0.6798181860606458|0.89
